stop_pct,rr,period,candidate_entries,skipped_overlaps,trades,gross_pnl,net_pnl,costs,win_rate_pct,profit_factor,net_sharpe,stops,targets,forced_eod,avg_net_trade
0.0075,0.5,full,385,17,368,3687.3331914999994,416.73556915097134,3270.5976223490284,67.11956521739131,1.028101370668575,0.22308100697182776,80,225,63,1.1324336118232916
0.0075,0.75,development,218,19,199,768.2371616874823,-1030.3639124985693,1798.6010741860514,56.28140703517588,0.9041921147459184,-0.7711903404986536,60,86,53,-5.177708103007886
0.0075,0.75,validation,87,8,79,538.7261810000175,-150.5509342779149,689.2771152779326,55.69620253164557,0.9615571174815476,-0.26844196731164677,20,33,26,-1.905708028834366
0.0075,0.75,holdout,80,9,71,1505.0932891250036,890.7284887137632,614.3648004112407,59.154929577464785,1.286800766384434,1.8016055477137536,15,36,20,12.545471672024835
0.0075,0.75,full,385,36,349,2812.056631812504,-290.1863580627206,3102.2429898752243,56.73352435530086,0.9836757914209668,-0.11226028645652347,95,155,99,-0.8314795359963342
0.0075,1.0,development,218,25,193,101.042845249974,-1643.3747254536052,1744.4175707035793,49.22279792746114,0.8609749497873704,-1.1536400328270104,65,63,65,-8.514894950536814
0.0075,1.0,validation,87,10,77,1117.0901837500185,445.41261826283437,671.6775654871842,54.54545454545454,1.1116201789781142,0.7506922315332234,20,28,29,5.784579457958888
0.0075,1.0,holdout,80,12,68,886.244229000001,298.026886396655,588.2173426033463,50.0,1.0819263858317767,0.5744497698756719,18,24,26,4.382748329362574
0.0075,1.0,full,385,47,338,2104.377257999994,-899.9352207941163,3004.312478794109,50.591715976331365,0.9537281733460342,-0.34154280034214246,103,115,120,-2.662530239035847
0.0075,1.5,development,218,32,186,-52.096612750013946,-1733.9059553349994,1681.8093425849852,44.623655913978496,0.8621963860979199,-1.0734705343401012,70,35,81,-9.322075028682793
0.0075,1.5,validation,87,11,76,1206.2555225000162,543.2406283635853,663.014894136431,48.68421052631579,1.1230594169461332,0.8265224602169245,22,18,36,7.147903004784017
0.0075,1.5,holdout,80,14,66,777.7872760000055,206.79331590156204,570.9939600984434,45.45454545454545,1.0534756289978318,0.36073686253386494,19,14,33,3.1332320591145764
0.0075,1.5,full,385,57,328,1931.9461857500087,-983.8720110698519,2915.8181968198596,45.73170731707317,0.9528434606260362,-0.3305804106096751,111,67,150,-2.9996097898471095
0.0075,2.0,development,218,35,183,-1513.570079250008,-3167.895107265503,1654.3250280154948,40.43715846994536,0.7637608825049608,-1.8280031077813719,75,22,86,-17.31090222549455
0.0075,2.0,validation,87,14,73,714.3620097500134,77.55776146403177,636.8042482859815,47.94520547945205,1.0178473653382476,0.12941811726868402,22,8,43,1.0624350885483804
0.0075,2.0,holdout,80,15,65,1322.9483745000045,760.7480481187552,562.2003263812492,44.61538461538462,1.196725315828818,1.1942033987924756,19,10,36,11.703816124903925
0.0075,2.0,full,385,64,321,523.7403050000094,-2329.5892976827154,2853.3296026827256,42.99065420560748,0.8922602179291532,-0.7483347351857653,116,40,165,-7.257287531721855
0.0075,3.0,development,218,39,179,-2743.753607750031,-4361.621019992421,1617.86741224239,39.10614525139665,0.6804108992095536,-2.605893655815719,77,6,96,-24.36659787705263
