stop_usd,target_usd,sessions,raw_bars,trades,generated_flat_signals,ignored_signals_while_open,gross_pnl,costs,commissions,slippage,net_pnl,net_return_pct,win_rate_pct,profit_factor,net_sharpe,net_sortino,max_drawdown_usd_daily,max_drawdown_pct_daily,avg_net_trade,avg_duration_bars,stops,targets,forced_eod,avg_gross_risk_usd,avg_gross_reward_usd
2.25,1.5,125,48390,223,223,1381,1324.999799999987,1944.495931519776,168.60900000000015,1775.886931519775,-619.4961315197888,-0.6194961315197889,54.7085201793722,0.9595182151354631,-0.3229594899520708,-0.4041454347770432,3124.0755191799544,3.0915783277471145,-2.7780095583847033,121.6322869955157,46,82,95,243.03026905829597,162.0201793721973
2.5,1.75,125,48390,201,201,1403,1009.7815,1752.643107099805,152.0680000000001,1600.5751070998058,-742.8616070998049,-0.742861607099805,53.73134328358209,0.9506237599441745,-0.35811519163985767,-0.4409524314097035,3514.9896456198767,3.4780481658144904,-3.6958288910438055,142.83582089552237,38,66,97,270.19900497512435,189.13930348258705
2.25,1.0,125,48390,270,270,1334,1643.8705999999827,2354.181057199721,204.19700000000006,2149.9840571997215,-710.3104571997386,-0.7103104571997386,61.111111111111114,0.9542002251100262,-0.38355620613522423,-0.47459777334605163,2551.1435778999585,2.5367387531728642,-2.630779471110143,88.41111111111111,46,140,84,243.09166666666667,108.04074074074074
2.5,1.5,125,48390,217,217,1387,1066.852299999999,1892.2455140598047,164.1150000000001,1728.1305140598033,-825.3932140598056,-0.8253932140598056,54.377880184331794,0.9460157798836354,-0.4058391883730747,-0.49160858578080235,3626.7248309798742,3.589190418160854,-3.8036553643309015,126.84792626728111,39,81,97,270.1036866359447,162.06221198156683
2.75,1.0,125,48390,255,255,1349,1332.368699999996,2223.396653379738,192.84300000000013,2030.5536533797385,-891.027953379742,-0.8910279533797419,62.35294117647059,0.9411097143976911,-0.45259058801513574,-0.5460445538968046,2512.0631047399656,2.4968889438469017,-3.4942272681558513,96.15686274509804,33,135,87,297.09705882352944,108.03529411764706
2.5,0.75,125,48390,304,304,1300,1764.6842000000054,2650.769287239724,230.09700000000012,2420.672287239724,-886.0850872397185,-0.8860850872397186,68.0921052631579,0.9415638841962136,-0.4678929390703192,-0.5543760526697545,2874.168596999938,2.8511949006441175,-2.9147535764464423,71.6842105263158,38,190,76,270.3207236842105,81.09621710526316
2.25,0.75,125,48390,310,310,1294,1835.8685999999948,2703.1305242796934,234.68900000000002,2468.441524279694,-867.2619242796986,-0.8672619242796987,67.74193548387096,0.9434207159886387,-0.48881519467113665,-0.5900457502993243,2512.045670839929,2.4912501706838173,-2.797619110579673,68.97741935483872,45,191,74,243.34112903225807,81.11370967741935
2.0,1.5,125,48390,237,237,1367,1111.862799999981,2066.376261279789,179.1300000000001,1887.2462612797872,-954.5134612798083,-0.9545134612798083,53.58649789029536,0.9410566791612124,-0.4972708135623567,-0.6132895094270078,3506.0362840999733,3.4688339146612304,-4.027482958986533,112.69620253164557,56,85,96,215.9493670886076,161.9620253164557
1.75,0.75,125,48390,331,331,1273,1984.7789999999916,2885.9841889196778,250.3130000000001,2635.6711889196777,-901.2051889196861,-0.901205188919686,65.55891238670695,0.9431998326828436,-0.5552923309655666,-0.6829388489851482,3003.565279939794,2.9769888999150664,-2.722674286766423,61.38066465256797,67,198,66,189.0581570996979,81.02492447129909
3.0,0.75,125,48390,292,292,1312,1469.419600000008,2546.1228479597235,221.01800000000011,2325.104847959723,-1076.7032479597156,-1.0767032479597154,68.4931506849315,0.9275068092849155,-0.5612673789134441,-0.6593923941155595,2660.317235899827,2.6364805471780475,-3.6873398902729986,77.32534246575342,28,183,81,324.3904109589041,81.09760273972603
