entry_mode,abs_threshold_usd,anchor_filter,trades,net_pnl,gross_pnl,costs,net_return_pct,net_sharpe,net_sortino,max_drawdown_pct,win_rate_pct,profit_factor,avg_net_trade,median_net_trade,avg_duration,long_net_pnl,short_net_pnl,eligible
z_only,,True,121,1061.775167620159,2153.7909000000313,1092.0157323798724,1.061775167620159,0.7909904298191387,1.1342549732363907,1.4416595267199737,57.85123966942148,1.233357017874163,8.77500138529057,10.660102000001212,35.70247933884298,1269.0250229000906,-207.24985527993198,True
z_or_abs,10.0,True,121,1061.775167620159,2153.7909000000313,1092.0157323798724,1.061775167620159,0.7909904298191387,1.1342549732363907,1.4416595267199737,57.85123966942148,1.233357017874163,8.77500138529057,10.660102000001212,35.70247933884298,1269.0250229000906,-207.24985527993198,True
z_or_abs,4.0,True,363,851.6736168603759,4130.6369000000395,3278.963283139664,0.8516736168603758,0.43941580644916944,0.5795062088577566,2.627592221419822,49.586776859504134,1.0898044057564378,2.3462083109101264,-0.7358199799973715,17.669421487603305,670.1057757802046,181.56784108017263,True
abs_only,4.0,True,251,126.58362226022359,2394.5511000000097,2267.967477739786,0.1265836222602236,0.09144984192731022,0.11558846170635037,2.409876821519865,46.21513944223107,1.024098156377501,0.5043172201602534,-2.3108410000005435,9.306772908366534,-402.67317009987903,529.2567923601024,True
abs_only,4.0,False,265,-105.79841771976669,2289.192600000006,2394.991017719773,-0.10579841771976668,-0.06221178817633886,-0.07835585910652153,2.665371916099859,45.660377358490564,0.9808865880085417,-0.399239312150063,-2.3108410000005435,9.015094339622642,-630.7945075398792,524.9960898201124,True
z_or_abs,3.0,False,735,-2039.081365199323,4600.526800000034,6639.608165199357,-2.039081365199323,-0.7120166186579547,-0.9085033091965379,5.846633361339452,45.714285714285715,0.8961939305241281,-2.7742603608154055,-3.4959599999978153,16.574149659863945,-886.8578358596343,-1152.2235293396889,True
z_or_abs,3.0,True,610,-2456.4205164194245,3050.9157000000323,5507.336216419457,-2.456420516419424,-1.0147940048837072,-1.2296117520953387,4.745556051699518,44.75409836065574,0.8469613758421837,-4.0269188793761055,-3.6819859999997355,14.136065573770491,-1277.7610984596809,-1178.659417959745,True
abs_only,3.0,True,506,-4103.380807399582,465.3857999999979,4568.766607399581,-4.103380807399582,-2.0254848920215798,-2.3226995057368076,5.040453422059625,41.30434782608695,0.6781652646019971,-8.109448235967553,-4.792313620001093,9.539525691699605,-2594.663144399772,-1508.7176629998107,True
abs_only,3.0,False,545,-5486.015665419553,-561.4590999999991,4924.556565419554,-5.486015665419553,-2.47381428853024,-2.762818302010872,6.318992426919605,40.18348623853211,0.6258233657727448,-10.066083789760649,-5.551273400001106,9.939449541284404,-3215.1866656597704,-2270.8289997597835,True
z_or_abs,2.0,False,1535,-10997.209365538727,2885.54130000003,13882.750665538757,-10.997209365538726,-2.883001822115529,-3.3065546762795353,12.535798337559187,38.17589576547231,0.7048120980864321,-7.1643057755952615,-6.285048000000664,11.8371335504886,-5748.005522499318,-5249.203843039405,True
