variant,symbol,lead_symbol,signal_time,entry_time,exit_time,direction,entry_z,entry_reference,entry_price,exit_reference,exit_price,shares,requested_notional,allocated_notional,entry_notional,stop_usd_per_share,target_usd_per_share,gross_risk_usd,gross_reward_usd,stop_price,target_price,exit_reason,duration_bars,gross_pnl,slippage,commissions,costs,net_pnl
equal_allocation,AMD,QQQ,2026-07-22 10:05:00-04:00,2026-07-22 10:06:00-04:00,2026-07-22 10:12:00-04:00,LONG,-2.7696117500,546.3400000000,546.4492680000,550.3400000000,550.2299320000,20,11111.1100000000,11111.1100000000,10928.9853600000,1.7500000000,4.0000000000,35.0000000000,80.0000000000,544.5900000000,550.3400000000,TAKE_PROFIT_BRACKET,6,80.0000000000,4.3867200000,0.1400000000,4.5267200000,75.4732800000
equal_allocation,AMZN,QQQ,2026-07-22 10:00:00-04:00,2026-07-22 10:01:00-04:00,2026-07-22 10:19:00-04:00,SHORT,2.9409043007,246.1000000000,246.0507800000,244.8500000000,244.8989700000,45,11111.1100000000,11111.1100000000,11072.2851000000,2.0000000000,1.2500000000,90.0000000000,56.2500000000,248.1000000000,244.8500000000,TAKE_PROFIT_BRACKET,18,56.2500000000,4.4185500000,0.3150000000,4.7335500000,51.5164500000
equal_allocation,NVDA,QQQ,2026-07-22 10:55:00-04:00,2026-07-22 10:56:00-04:00,2026-07-22 12:15:00-04:00,SHORT,2.8007522604,208.4685000000,208.4268063000,213.7185000000,213.7612437000,53,11111.1100000000,11111.1100000000,11046.6207339000,5.2500000000,1.2500000000,278.2500000000,66.2500000000,213.7185000000,207.2185000000,STOP,79,-278.2500000000,4.4751822000,0.3710000000,4.8461822000,-283.0961822000
equal_allocation,AVGO,QQQ,2026-07-22 10:42:00-04:00,2026-07-22 10:43:00-04:00,2026-07-22 13:06:00-04:00,SHORT,2.6330623391,387.2850000000,387.2075430000,397.7850000000,397.8645570000,28,11111.1100000000,11111.1100000000,10841.8112040000,10.5000000000,5.0000000000,294.0000000000,140.0000000000,397.7850000000,382.2850000000,STOP,143,-294.0000000000,4.3963920000,0.1960000000,4.5923920000,-298.5923920000
equal_allocation,AMZN,QQQ,2026-07-22 12:22:00-04:00,2026-07-22 12:23:00-04:00,2026-07-22 13:31:00-04:00,SHORT,2.7418230715,244.0850000000,244.0361830000,242.8350000000,242.8835670000,45,11111.1100000000,11111.1100000000,10981.6282350000,2.0000000000,1.2500000000,90.0000000000,56.2500000000,246.0850000000,242.8350000000,TAKE_PROFIT_BRACKET,68,56.2500000000,4.3822800000,0.3150000000,4.6972800000,51.5527200000
equal_allocation,GOOGL,QQQ,2026-07-22 11:12:00-04:00,2026-07-22 11:13:00-04:00,2026-07-22 14:02:00-04:00,LONG,-2.7802032460,347.9000000000,347.9695800000,346.6500000000,346.5806700000,31,11111.1100000000,11111.1100000000,10787.0569800000,1.2500000000,3.2500000000,38.7500000000,100.7500000000,346.6500000000,351.1500000000,STOP,169,-38.7500000000,4.3062100000,0.2170000000,4.5232100000,-43.2732100000
equal_allocation,AMD,QQQ,2026-07-22 13:34:00-04:00,2026-07-22 13:35:00-04:00,2026-07-22 15:28:00-04:00,SHORT,2.8684680369,556.1600000000,556.0487680000,557.9100000000,558.0215820000,19,11111.1100000000,11111.1100000000,10564.9265920000,1.7500000000,4.0000000000,33.2500000000,76.0000000000,557.9100000000,552.1600000000,STOP,113,-33.2500000000,4.2334660000,0.1330000000,4.3664660000,-37.6164660000
equal_allocation,GOOGL,QQQ,2026-07-22 14:59:00-04:00,2026-07-22 15:00:00-04:00,2026-07-22 15:32:00-04:00,LONG,-2.6521479786,346.1400000000,346.2092280000,344.8900000000,344.8210220000,32,11111.1100000000,11111.1100000000,11078.6952960000,1.2500000000,3.2500000000,40.0000000000,104.0000000000,344.8900000000,349.3900000000,STOP,32,-40.0000000000,4.4225920000,0.2240000000,4.6465920000,-44.6465920000
equal_allocation,AMD,QQQ,2026-07-22 15:30:00-04:00,2026-07-22 15:31:00-04:00,2026-07-22 15:33:00-04:00,SHORT,3.6547655828,558.6000000000,558.4882800000,560.3500000000,560.4620700000,19,11111.1100000000,11111.1100000000,10611.2773200000,1.7500000000,4.0000000000,33.2500000000,76.0000000000,560.3500000000,554.6000000000,STOP,2,-33.2500000000,4.2520100000,0.1330000000,4.3850100000,-37.6350100000
equal_allocation,AMD,QQQ,2026-07-22 15:33:00-04:00,2026-07-22 15:34:00-04:00,2026-07-22 15:36:00-04:00,SHORT,4.6241442659,561.1100000000,560.9977780000,557.1100000000,557.2214220000,19,11111.1100000000,11111.1100000000,10658.9577820000,1.7500000000,4.0000000000,33.2500000000,76.0000000000,562.8600000000,557.1100000000,TAKE_PROFIT_BRACKET,2,76.0000000000,4.2492360000,0.1330000000,4.3822360000,71.6177640000
